Mod:Item:MetaData, Localized Name
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
clayium:blockClayOre:0, Clay Ore
clayium:blockClayOre:1, Dense Clay Ore
clayium:blockClayOre:2, Large Dense Clay Ore
clayium:blockCompressedClay:0, Dense Clay
clayium:blockCompressedClay:1, Compressed Clay
clayium:blockCompressedClay:2, Industrial Clay
clayium:blockCompressedClay:3, Advanced Industrial Clay
clayium:blockCompressedClay:4, Energetic Clay
clayium:blockCompressedClay:5, Compressed Energetic Clay
clayium:blockCompressedClay:6, Double Compressed Energetic Clay
clayium:blockCompressedClay:7, Triple Compressed Energetic Clay
clayium:blockCompressedClay:8, Quadruple Compressed Energetic Clay
clayium:blockCompressedClay:9, Quintuple Compressed Energetic Clay
clayium:blockCompressedClay:10, Sextuple Compressed Energetic Clay
clayium:blockCompressedClay:11, Septuple Compressed Energetic Clay
clayium:blockCompressedClay:12, Octuple Compressed Energetic Clay
clayium:blockRawClayMachineHull:0, Raw Clay Machine Hull
clayium:blockMachineHull:0, Clay Machine Hull
clayium:blockMachineHull:1, Dense Clay Machine Hull
clayium:blockMachineHull:2, Simple Machine Hull
clayium:blockMachineHull:3, Basic Machine Hull
clayium:blockMachineHull:4, Advanced Machine Hull
clayium:blockMachineHull:5, Precision Machine Hull
clayium:blockMachineHull:6, Clay Steel Machine Hull
clayium:blockMachineHull:7, Clayium Machine Hull
clayium:blockMachineHull:8, Ultimate Machine Hull
clayium:blockMachineHull:9, Antimatter Machine Hull
clayium:blockMachineHull:10, Pure Antimatter Machine Hull
clayium:blockMachineHull:11, OEC Machine Hull
clayium:blockMachineHull:12, OPA Machine Hull
clayium:blockOthersHull:0, AZ91D Alloy Hull
clayium:blockOthersHull:1, ZK60A Alloy Hull
clayium:blockClayWorkTable, Clay Work Table
clayium:blockClayCraftingTable, Clay Crafting Board
clayium:blockElementalMillingMachine, Elemental Milling Machine
clayium:blockEnergeticClayCondenser, Energetic Clay Condenser Mk I
clayium:blockEnergeticClayCondenserMK2, Energetic Clay Condenser Mk II
clayium:blockClayBendingMachine, Clay Bending Machine
clayium:blockDenseClayBendingMachine, Dense Clay Bending Machine
clayium:blockSimpleBendingMachine, Simple Bending Machine
clayium:blockBasicBendingMachine, Basic Bending Machine
clayium:blockAdvancedBendingMachine, Advanced Bending Machine
clayium:blockPrecisionBendingMachine, Precision Bending Machine
clayium:blockClaySteelBendingMachine, Clay Steel Bending Machine
clayium:blockUltimateBendingMachine, Ultimate Bending Machine
clayium:blockClayWireDrawingMachine, Clay Wire Drawing Machine
clayium:blockDenseClayWireDrawingMachine, Dense Clay Wire Drawing Machine
clayium:blockSimpleWireDrawingMachine, Simple Wire Drawing Machine
clayium:blockBasicWireDrawingMachine, Basic Wire Drawing Machine
clayium:blockClayPipeDrawingMachine, Clay Pipe Drawing Machine
clayium:blockDenseClayPipeDrawingMachine, Dense Clay Pipe Drawing Machine
clayium:blockSimplePipeDrawingMachine, Simple Pipe Drawing Machine
clayium:blockBasicPipeDrawingMachine, Basic Pipe Drawing Machine
clayium:blockClayCuttingMachine, Clay Cutting Machine
clayium:blockDenseClayCuttingMachine, Dense Clay Cutting Machine
clayium:blockSimpleCuttingMachine, Simple Cutting Machine
clayium:blockBasicCuttingMachine, Basic Cutting Machine
clayium:blockClayLathe, Clay Lathe
clayium:blockDenseClayLathe, Dense Clay Lathe
clayium:blockSimpleLathe, Simple Lathe
clayium:blockBasicLathe, Basic Lathe
clayium:blockClayCobblestoneGenerator, Clay Cobblestone Generator
clayium:blockDenseClayCobblestoneGenerator, Dense Clay Cobblestone Generator
clayium:blockSimpleCobblestoneGenerator, Simple Cobblestone Generator
clayium:blockBasicCobblestoneGenerator, Basic Cobblestone Generator
clayium:blockAdvancedCobblestoneGenerator, Advanced Cobblestone Generator
clayium:blockPrecisionCobblestoneGenerator, Precision Cobblestone Generator
clayium:blockClaySteelCobblestoneGenerator, Clay Steel Cobblestone Generator
clayium:blockDenseClayCondenser, Dense Clay Condenser
clayium:blockSimpleCondenser, Simple Condenser
clayium:blockBasicCondenser, Basic Condenser
clayium:blockAdvancedCondenser, Advanced Condenser
clayium:blockAntimatterCondenser, Antimatter Condenser
clayium:blockDenseClayGrinder, Dense Clay Grinder
clayium:blockSimpleGrinder, Simple Grinder
clayium:blockBasicGrinder, Basic Grinder
clayium:blockAdvancedGrinder, Advanced Grinder
clayium:blockPrecisionGrinder, Precision Grinder
clayium:blockAntimatterGrinder, Antimatter Grinder
clayium:blockDenseClayDecomposer, Dense Clay Decomposer
clayium:blockSimpleDecomposer, Simple Decomposer
clayium:blockBasicDecomposer, Basic Decomposer
clayium:blockSimpleMillingMachine, Simple Milling Machine
clayium:blockBasicMillingMachine, Basic Milling Machine
clayium:blockSimpleAssembler, Simple Assembler
clayium:blockBasicAssembler, Basic Assembler
clayium:blockPrecisionAssembler, Precision Assembler
clayium:blockAntimatterAssembler, Antimatter Assembler
clayium:blockSimpleInscriber, Simple Inscriber
clayium:blockBasicInscriber, Basic Inscriber
clayium:blockSimpleCentrifuge, Simple Centrifuge
clayium:blockBasicCentrifuge, Basic Centrifuge
clayium:blockAdvancedCentrifuge, Advanced Centrifuge
clayium:blockPrecisionCentrifuge, Precision Centrifuge
clayium:blockBasicSmelter, Basic Smelter
clayium:blockAdvancedSmelter, Advanced Smelter
clayium:blockPrecisionSmelter, Precision Smelter
clayium:blockClaySteelSmelter, Clay Steel Smelter
clayium:blockClayiumSmelter, Clayium Smelter
clayium:blockUltimateSmelter, Ultimate Smelter
clayium:blockBasicBuffer, Basic Buffer
clayium:blockAdvancedBuffer, Advanced Buffer
clayium:blockPrecisionBuffer, Precision Buffer
clayium:blockClaySteelBuffer, Clay Steel Buffer
clayium:blockClayiumBuffer, Clayium Buffer
clayium:blockUltimateBuffer, Ultimate Buffer
clayium:blockAntimatterBuffer, Antimatter Buffer
clayium:blockPureAntimatterBuffer, Pure Antimatter Buffer
clayium:blockOECBuffer, OEC Buffer
clayium:blockOPABuffer, OPA Buffer
clayium:blockBasicMultitrackBuffer, Basic Multitrack  Buffer
clayium:blockAdvancedMultitrackBuffer, Advanced Multitrack Buffer
clayium:blockPrecisionMultitrackBuffer, Precision Multitrack Buffer
clayium:blockClaySteelMultitrackBuffer, Clay Steel Multitrack Buffer
clayium:blockClayiumMultitrackBuffer, Clayium Multitrack Buffer
clayium:blockUltimateMultitrackBuffer, Ultimate Multitrack Buffer
clayium:blockAntimatterMultitrackBuffer, Antimatter Multitrack Buffer
clayium:blockPureAntimatterMultitrackBuffer, Pure Antimatter Multitrack Buffer
clayium:blockOECMultitrackBuffer, OEC Multitrack Buffer
clayium:blockOPAMultitrackBuffer, OPA Multitrack Buffer
clayium:blockCreativeCESource, Creative CE Source
clayium:blockBasicChemicalReactor, Basic Chemical Reactor
clayium:blockAdvancedChemicalReactor, Advanced Chemical Reactor
clayium:blockClayiumChemicalReactor, Clayium Chemical Reactor
clayium:blockBasicSaltExtractor, Basic Salt Extractor
clayium:blockAdvancedSaltExtractor, Advanced Salt Extractor
clayium:blockPrecisionSaltExtractor, Precision Salt Extractor
clayium:blockClaySteelSaltExtractor, Clay Steel Salt Extractor
clayium:blockAutoClayCondenser, Automatic Clay Condenser Mk I
clayium:blockAdvancedAutoClayCondenser, Automatic Clay Condenser Mk II
clayium:blockQuartzCrucible, Quartz Crucible
clayium:blockSolarClayFabricatorMK1, Solar Clay Fabricator Mk I
clayium:blockSolarClayFabricatorMK2, Solar Clay Fabricator Mk II
clayium:blockLithiumSolarClayFabricator, Lithium-Solar Clay Fabricator
clayium:blockClayFabricatorMK1, Clay Fabricator Mk I
clayium:blockClayFabricatorMK2, Clay Fabricator Mk II
clayium:blockClayFabricatorMK3, Clay Fabricator Mk III
clayium:blockChemicalMetalSeparator, Chemical Metal Separator
clayium:blockPrecisionAlloySmelter, Alloy Smelter
clayium:blockClayBlastFurnace, Clay Blast Furnace
clayium:blockAdvancedClayInterface, Clay Interface
clayium:blockPrecisionClayInterface, Precision Interface
clayium:blockClaySteelClayInterface, Clay Steel Interface
clayium:blockClayiumClayInterface, Clayium Interface
clayium:blockUltimateClayInterface, Ultimate Interface
clayium:blockAntimatterClayInterface, Antimatter Interface
clayium:blockPureAntimatterClayInterface, Pure Antimatter Interface
clayium:blockOECClayInterface, OEC Interface
clayium:blockOPAClayInterface, OPA Interface
clayium:blockAdvancedRedstoneInterface, Redstone Interface
clayium:blockPrecisionRedstoneInterface, Precision Redstone Interface
clayium:blockClaySteelRedstoneInterface, Clay Steel Redstone Interface
clayium:blockClayiumRedstoneInterface, Clayium Redstone Interface
clayium:blockUltimateRedstoneInterface, Ultimate Redstone Interface
clayium:blockAntimatterRedstoneInterface, Antimatter Redstone Interface
clayium:blockPureAntimatterRedstoneInterface, Pure Antimatter Redstone Interface
clayium:blockOECRedstoneInterface, OEC Redstone Interface
clayium:blockOPARedstoneInterface, OPA Redstone Interface
clayium:blockPrecisionElectrolysisReactor, Electrolysis Reactor
clayium:blockClaySteelElectrolysisReactor, Clay Steel Electrolysis Reactor
clayium:blockClayiumElectrolysisReactor, Clayium Electrolysis Reactor
clayium:blockUltimateElectrolysisReactor, Ultimate Electrolysis Reactor
clayium:blockClaySteelLaserClayInterface, Laser Interface
clayium:blockClayiumLaserClayInterface, Clayium Laser Interface
clayium:blockUltimateLaserClayInterface, Ultimate Laser Interface
clayium:blockAntimatterLaserClayInterface, Antimatter Laser Interface
clayium:blockPureAntimatterLaserClayInterface, Pure Antimatter Laser Interface
clayium:blockOECLaserClayInterface, OEC Laser Interface
clayium:blockOPALaserClayInterface, OPA Laser Interface
clayium:blockClaySteelDistributor, Item Distributor
clayium:blockClayiumDistributor, Clayium Distributor
clayium:blockUltimateDistributor, Ultimate Distributor
clayium:blockAdvancedAutoCrafter, Auto Crafter
clayium:blockPrecisionAutoCrafter, Precision Auto Crafter
clayium:blockClaySteelAutoCrafter, Clay Steel Auto Crafter
clayium:blockClayiumAutoCrafter, Clayium Auto Crafter
clayium:blockUltimateAutoCrafter, Ultimate Auto Crafter
clayium:blockClayReactor, Clay Reactor
clayium:blockClaySteelTransformer, Matter Transformer
clayium:blockClayiumTransformer, Clayium Matter Transformer
clayium:blockUltimateTransformer, Ultimate Matter Transformer
clayium:blockAntimatterTransformer, Antimatter Transformer
clayium:blockPureAntimatterTransformer, Pure Antimatter Transformer
clayium:blockOECTransformer, OEC Transformer
clayium:blockUltimateCACondenser, CA Condenser
clayium:blockAntimatterCACondenser, Antimatter CA Condenser
clayium:blockPureAntimatterCACondenser, Pure Antimatter CA Condenser
clayium:blockUltimateCAInjector, CA Injector
clayium:blockAntimatterCAInjector, Antimatter CA Injector
clayium:blockPureAntimatterCAInjector, Pure Antimatter CA Injector
clayium:blockOECCAInjector, OEC CA Injector
clayium:blockOPACAInjector, OPA CA Injector
clayium:blockCACollector, CA Resonating Collector
clayium:blockResonator:10, Antimatter Resonator
clayium:blockResonator:11, Pure Antimatter Resonator
clayium:blockResonator:12, OEC Resonator
clayium:blockResonator:13, OPA Resonator
clayium:blockOverclocker:10, Antimatter Overclocker
clayium:blockOverclocker:11, Pure Antimatter Overclocker
clayium:blockOverclocker:12, OEC Overclocker
clayium:blockOverclocker:13, OPA Overclocker
clayium:blockEnergyStorageUpgrade:10, Antimatter Energy Storage Upgrade
clayium:blockEnergyStorageUpgrade:11, Pure Antimatter Energy Storage Upgrade
clayium:blockEnergyStorageUpgrade:12, OEC Energy Storage Upgrade
clayium:blockEnergyStorageUpgrade:13, OPA Energy Storage Upgrade
clayium:blockCAReactorCoil:10, CA Reactor Coil Mk I
clayium:blockCAReactorCoil:11, CA Reactor Coil Mk II
clayium:blockCAReactorCoil:12, CA Reactor Coil Mk III
clayium:blockCAReactorCoil:13, CA Reactor Coil Mk IV
clayium:blockCAReactorHull:0, CA Reactor Hull Rank 1
clayium:blockCAReactorHull:1, CA Reactor Hull Rank 2
clayium:blockCAReactorHull:2, CA Reactor Hull Rank 3
clayium:blockCAReactorHull:3, CA Reactor Hull Rank 4
clayium:blockCAReactorHull:4, CA Reactor Hull Rank 5
clayium:blockCAReactorHull:5, CA Reactor Hull Rank 6
clayium:blockCAReactorHull:6, CA Reactor Hull Rank 7
clayium:blockCAReactorHull:7, CA Reactor Hull Rank 8
clayium:blockCAReactorHull:8, CA Reactor Hull Rank 9
clayium:blockCAReactorHull:9, CA Reactor Hull Rank 10
clayium:blockAntimatterCAReactorCore, CA Reactor Core Mk I
clayium:blockPureAntimatterCAReactorCore, CA Reactor Core Mk II
clayium:blockOECCAReactorCore, CA Reactor Core Mk III
clayium:blockOPACAReactorCore, CA Reactor Core Mk IV
clayium:blockEnergeticClayDecomposer, Energetic Clay Decomposer
clayium:blockStorageContainer, Storage Container
clayium:blockVacuumContainer, Void Container
clayium:blockAutoTrader, Auto Trader
clayium:blockClayMarker, Clay Marker
clayium:blockClayOpenPitMarker, Clay Marker [Open-pit]
clayium:blockClayGroundLevelingMarker, Clay Marker [Ground-Leveling]
clayium:blockClayPrismMarker, Clay Marker [Prism]
clayium:blockMiner, Block Breaker
clayium:blockAreaCollector, Area Item Collector
clayium:blockAreaMiner, Area Miner
clayium:blockAdvancedAreaMiner, Advanced Area Miner
clayium:blockAreaReplacer, Area Replacer
clayium:blockActivator, Activator
clayium:blockAreaActivator, Area Activator
clayium:blockClayWaterWheel, Clay Water Wheel
clayium:blockDenseClayWaterWheel, Dense Clay Water Wheel
clayium:blockClaySteelClayEnergyLaser, Blue Clay Laser
clayium:blockClayiumClayEnergyLaser, Green Clay Laser
clayium:blockUltimateClayEnergyLaser, Red Clay Laser
clayium:blockAntimatterClayEnergyLaser, White Clay Laser
clayium:blockLaserReflector, Laser Reflector
clayium:blockClayTreeSapling, Clay Tree Sapling
clayium:blockClayTreeLeaf, Clay Tree Leaf
clayium:blockClayTreeLog, Clay Tree Log
clayium:blockClayChunkLoader, 3x3 Chunk Loader
clayium:blockPANCore, PAN Core
clayium:blockAntimatterPANAdapter, PAN Adapter Mk I
clayium:blockPureAntimatterPANAdapter, PAN Adapter Mk II
clayium:blockOECPANAdapter, PAN Adapter Mk III
clayium:blockOPAPANAdapter, PAN Adapter Mk IV
clayium:blockBasicPANDuplicator, PAN Duplicator Rank 1
clayium:blockAdvancedPANDuplicator, PAN Duplicator Rank 2
clayium:blockPrecisionPANDuplicator, PAN Duplicator Rank 3
clayium:blockClaySteelPANDuplicator, PAN Duplicator Rank 4
clayium:blockClayiumPANDuplicator, PAN Duplicator Rank 5
clayium:blockUltimatePANDuplicator, PAN Duplicator Rank 6
clayium:blockAntimatterPANDuplicator, PAN Duplicator Rank 7
clayium:blockPureAntimatterPANDuplicator, PAN Duplicator Rank 8
clayium:blockOECPANDuplicator, PAN Duplicator Rank 9
clayium:blockOPAPANDuplicator, PAN Duplicator Rank 10
clayium:blockPANCable, PAN Cable
clayium:blockMetalChest:3, Lithium Chest
clayium:blockMetalChest:4, Beryllium Chest
clayium:blockMetalChest:11, Sodium Chest
clayium:blockMetalChest:12, Magnesium Chest
clayium:blockMetalChest:13, Aluminium Chest
clayium:blockMetalChest:14, Silicon Chest
clayium:blockMetalChest:19, Potassium Chest
clayium:blockMetalChest:20, Calcium Chest
clayium:blockMetalChest:22, Titanium Chest
clayium:blockMetalChest:23, Vanadium Chest
clayium:blockMetalChest:24, Chrome Chest
clayium:blockMetalChest:25, Manganese Chest
clayium:blockMetalChest:27, Cobalt Chest
clayium:blockMetalChest:28, Nickel Chest
clayium:blockMetalChest:30, Zinc Chest
clayium:blockMetalChest:37, Rubidium Chest
clayium:blockMetalChest:38, Strontium Chest
clayium:blockMetalChest:40, Zirconium Chest
clayium:blockMetalChest:42, Molybdenum Chest
clayium:blockMetalChest:46, Palladium Chest
clayium:blockMetalChest:51, Antimony Chest
clayium:blockMetalChest:55, Caesium Chest
clayium:blockMetalChest:56, Barium Chest
clayium:blockMetalChest:57, Lanthanum Chest
clayium:blockMetalChest:58, Cerium Chest
clayium:blockMetalChest:59, Praseodymium Chest
clayium:blockMetalChest:60, Neodymium Chest
clayium:blockMetalChest:61, Promethium Chest
clayium:blockMetalChest:62, Samarium Chest
clayium:blockMetalChest:63, Europium Chest
clayium:blockMetalChest:72, Hafnium Chest
clayium:blockMetalChest:73, Tantalum Chest
clayium:blockMetalChest:74, Tungsten Chest
clayium:blockMetalChest:75, Rhenium Chest
clayium:blockMetalChest:76, Osmium Chest
clayium:blockMetalChest:77, Iridium Chest
clayium:blockMetalChest:78, Platinum Chest
clayium:blockMetalChest:82, Lead Chest
clayium:blockMetalChest:83, Bismuth Chest
clayium:blockMetalChest:87, Francium Chest
clayium:blockMetalChest:88, Radium Chest
clayium:blockMetalChest:89, Actinium Chest
clayium:blockMetalChest:90, Thorium Chest
clayium:blockMetalChest:91, Protactinium Chest
clayium:blockMetalChest:92, Uranium Chest
clayium:blockMetalChest:93, Neptunium Chest
clayium:blockMetalChest:94, Plutonium Chest
clayium:blockMetalChest:95, Americium Chest
clayium:blockMetalChest:96, Curium Chest
clayium:blockMetalChest:256, Clay Steel Chest
clayium:blockMetalChest:257, Clayium Chest
clayium:blockMetalChest:258, Ultimate Alloy Chest
clayium:blockMetalChest:1281, Brass Chest
clayium:blockMetalChest:1283, Electrum Chest
clayium:blockMetalChest:1284, Invar Chest
clayium:blockMetalChest:1312, AZ91D Alloy Chest
clayium:blockMetalChest:1313, ZK60A Alloy Chest
clayium:blockBasicFluidTranslator, Basic Fluid Buffer
clayium:blockAdvancedFluidTranslator, Advanced Fluid Buffer
clayium:blockPrecisionFluidTranslator, Precision Fluid Buffer
clayium:blockClaySteelFluidTranslator, Clay Steel Fluid Buffer
clayium:blockClayiumFluidTranslator, Clayium Fluid Buffer
clayium:blockUltimateFluidTranslator, Ultimate Fluid Buffer
clayium:blockAntimatterFluidTranslator, Antimatter Fluid Buffer
clayium:blockPureAntimatterFluidTranslator, Pure Antimatter Fluid Buffer
clayium:blockOECFluidTranslator, OEC Fluid Buffer
clayium:blockOPAFluidTranslator, OPA Fluid Buffer
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
clayium:blockAdvancedFluidTransferMachine, Fluid Transfer Machine
clayium:blockMaterial:0, Impure Silicon Block
clayium:blockMaterial:1, Silicone Block
clayium:blockMaterial:2, Silicon Block
clayium:blockMaterial:3, Aluminium Block
clayium:blockMaterial:4, Clay Steel Block
clayium:blockMaterial:5, Clayium Block
clayium:blockMaterial:6, Ultimate Alloy Block
clayium:blockMaterial:7, Antimatter Block
clayium:blockMaterial:8, Pure Antimatter Block
clayium:blockMaterial:9, OEC Block
clayium:blockMaterial:10, OPA Block
clayium:blockSiliconeColored:0, White Silicone Block
clayium:blockSiliconeColored:1, Orange Silicone Block
clayium:blockSiliconeColored:2, Magenta Silicone Block
clayium:blockSiliconeColored:3, Light Blue Silicone Block
clayium:blockSiliconeColored:4, Yellow Silicone Block
clayium:blockSiliconeColored:5, Lime Silicone Block
clayium:blockSiliconeColored:6, Pink Silicone Block
clayium:blockSiliconeColored:7, Gray Silicone Block
clayium:blockSiliconeColored:8, Light Gray Silicone Block
clayium:blockSiliconeColored:9, Cyan Silicone Block
clayium:blockSiliconeColored:10, Purple Silicone Block
clayium:blockSiliconeColored:11, Blue Silicone Block
clayium:blockSiliconeColored:12, Brown Silicone Block
clayium:blockSiliconeColored:13, Green Silicone Block
clayium:blockSiliconeColored:14, Red Silicone Block
clayium:blockSiliconeColored:15, Black Silicone Block
clayium:blockPureAntimatterRFGenerator, Pure Antimatter CE-RF Converter
clayium:blockOECRFGenerator, OEC CE-RF Converter
clayium:blockBasicRFGenerator, CE-RF Converter
clayium:blockAntimatterRFGenerator, Antimatter CE-RF Converter
clayium:blockPrecisionRFGenerator, Precision CE-RF Converter
clayium:blockUltimateRFGenerator, Ultimate CE-RF Converter
clayium:blockAdvancedRFGenerator, Advanced CE-RF Converter
clayium:blockClayiumRFGenerator, Clayium CE-RF Converter
clayium:blockOPARFGenerator, OPA CE-RF Converter
clayium:blockClaySteelRFGenerator, Clay Steel CE-RF Converter
clayium:blockMetal000:3, Lithium Block
clayium:blockMetal000:4, Beryllium Block
clayium:blockMetal000:11, Sodium Block
clayium:blockMetal000:12, Magnesium Block
clayium:blockMetal002:5, Rubidium Block
clayium:blockMetal002:6, Strontium Block
clayium:blockMetal002:8, Zirconium Block
clayium:blockMetal002:10, Molybdenum Block
clayium:blockMetal002:14, Palladium Block
clayium:blockMetal002:15, Silver Block
clayium:blockMetal001:3, Potassium Block
clayium:blockMetal001:4, Calcium Block
clayium:blockMetal001:6, Titanium Block
clayium:blockMetal001:7, Vanadium Block
clayium:blockMetal001:8, Chrome Block
clayium:blockMetal001:9, Manganese Block
clayium:blockMetal001:11, Cobalt Block
clayium:blockMetal001:12, Nickel Block
clayium:blockMetal001:13, Copper Block
clayium:blockMetal001:14, Zinc Block
clayium:blockMetal005:2, Lead Block
clayium:blockMetal005:3, Bismuth Block
clayium:blockMetal005:7, Francium Block
clayium:blockMetal005:8, Radium Block
clayium:blockMetal005:9, Actinium Block
clayium:blockMetal005:10, Thorium Block
clayium:blockMetal005:11, Protactinium Block
clayium:blockMetal005:12, Uranium Block
clayium:blockMetal005:13, Neptunium Block
clayium:blockMetal005:14, Plutonium Block
clayium:blockMetal005:15, Americium Block
clayium:blockMetal004:8, Hafnium Block
clayium:blockMetal004:9, Tantalum Block
clayium:blockMetal004:10, Tungsten Block
clayium:blockMetal004:11, Rhenium Block
clayium:blockMetal004:12, Osmium Block
clayium:blockMetal004:13, Iridium Block
clayium:blockMetal004:14, Platinum Block
clayium:blockMetal003:2, Tin Block
clayium:blockMetal003:3, Antimony Block
clayium:blockMetal003:7, Caesium Block
clayium:blockMetal003:8, Barium Block
clayium:blockMetal003:9, Lanthanum Block
clayium:blockMetal003:10, Cerium Block
clayium:blockMetal003:11, Praseodymium Block
clayium:blockMetal003:12, Neodymium Block
clayium:blockMetal003:13, Promethium Block
clayium:blockMetal003:14, Samarium Block
clayium:blockMetal003:15, Europium Block
clayium:blockMetal082:0, AZ91D Alloy Block
clayium:blockMetal082:1, ZK60A Alloy Block
clayium:blockMetal006:0, Curium Block
clayium:blockMetal080:0, Bronze Block
clayium:blockMetal080:1, Brass Block
clayium:blockMetal080:3, Electrum Block
clayium:blockMetal080:4, Invar Block
clayium:blockMetal096:0, Steel Block
compacter:Compacter, Compacter
compacter:Cobbler, Creative Cobble Generator
CompactMachines:machine:0, Compact Machine
CompactMachines:machine:1, Compact Machine
CompactMachines:machine:2, Compact Machine
CompactMachines:machine:3, Compact Machine
CompactMachines:machine:4, Compact Machine
CompactMachines:machine:5, Compact Machine
CompactMachines:interface, Compact Machine Interface
CompactMachines:innerwall, Compact Machine Wall
CompactMachines:innerwalldecor, Compact Machine Wall (Decorative)
CompactMachines:resizingcube, World Resizing Cube
CompactMachines:interfacedecor, Compact Machine Interface (Decorative)
CompactMachines:interfacecreative, Compact Machine Interface
CompactMachines:innerwallcreative, Compact Machine Wall
DraconicEvolution:xRayBlock, Distortion Flame
DraconicEvolution:weatherController, Weather Controller
DraconicEvolution:sunDial, Sun Dial
DraconicEvolution:draconiumOre, Draconium Ore
DraconicEvolution:grinder, Mob Grinder
DraconicEvolution:potentiometer, Potentiometer
DraconicEvolution:rainSensor, Rain Sensor
DraconicEvolution:particleGenerator, Particle Generator
DraconicEvolution:playerDetector, Player Detector
DraconicEvolution:playerDetectorAdvanced, Advanced Player Detector
DraconicEvolution:energyInfuser, Energy Infuser
DraconicEvolution:customSpawner, Stabilized Mob Spawner
DraconicEvolution:generator, Generator
DraconicEvolution:energyStorageCore, Energy Core
DraconicEvolution:draconium:0, Draconium Block
DraconicEvolution:draconium:1, Resurrection Stone
DraconicEvolution:draconium:2, Charged Draconium Block
DraconicEvolution:invisibleMultiblock, Energy Core
DraconicEvolution:energyPylon, Energy Pylon
DraconicEvolution:placedItem, tile.draconicevolution:placedItem.name
DraconicEvolution:safetyFlame, tile.draconicevolution:safetyFlame.name
DraconicEvolution:cKeyStone:0, Creative Key Stone
DraconicEvolution:cKeyStone:1, Creative Key Stone
DraconicEvolution:cKeyStone:2, Creative Key Stone
DraconicEvolution:cKeyStone:3, Creative Key Stone
DraconicEvolution:dissEnchanter, Disenchanter
DraconicEvolution:teleporterStand, Dislocator Pedestal
DraconicEvolution:draconiumChest, Draconic Chest
DraconicEvolution:draconicBlock, Awakened Draconium Block
DraconicEvolution:energyCrystal:0, Energy Relay
DraconicEvolution:energyCrystal:1, Advanced Energy Relay
DraconicEvolution:energyCrystal:2, Energy Transceiver
DraconicEvolution:energyCrystal:3, Advanced Energy Transceiver
DraconicEvolution:energyCrystal:4, Wireless Energy Transceiver
DraconicEvolution:energyCrystal:5, Advanced Wireless Transceiver
DraconicEvolution:infusedObsidian, Draconium Infused Obsidian
DraconicEvolution:dislocatorReceptacle, Dislocator Receptacle
DraconicEvolution:portal, Portal
DraconicEvolution:reactorCore, Draconic Reactor Core
DraconicEvolution:flowGate:0, Flux Gate
DraconicEvolution:flowGate:6, Fluid Gate
DraconicEvolution:reactorStabilizer, Reactor Stabilizer
DraconicEvolution:reactorEnergyInjector, Reactor Energy Injector
DraconicEvolution:chaosCrystal, Chaos Crystal
DraconicEvolution:upgradeModifier, Upgrade Modifier
DraconicEvolution:longRangeDislocator:1, Admin Dislocator
DraconicEvolution:chaosShardAtmos, tile.draconicevolution:chaosShardAtmos.name
EnderTanks:blockEnderTank:0, Ender Tank
